Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
Baulch et al._2011,Freshwater,-3.4,,43.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-7.4,,43.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,8.8,,65.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-3.5,,45.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,10.7,,68.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3,,28.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,5.2,,50.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.8,,48.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,7.2,,58.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,5,,50.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.3,,52.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.7,,49.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.9,,47.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,10.1,,55.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3,,55.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,2,,56.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,7.9,,56.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,7.9,,57.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,7.5,,56.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,5.6,,54.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,10,,52.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.8,,55.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-1.1,,51.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.3,,54.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.9,,44.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-8.7,,45.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-5.2,,47.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-1.9,,55.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.2,,51.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.1,,58.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.6,,57.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.2,,53.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.7,,52.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.7,,53.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,0.3,,59.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-1,,53.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,4.5,,55.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,0.2,,58.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-7.5,,51,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-7.5,,51.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-8.3,,45.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-11.3,,39.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-8.9,,37.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-10,,38.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.9,,44.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-12.6,,44.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.6,,51.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-20.7,,35.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.3,,41.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.9,,47.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.5,,48.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-6.2,,49.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.6,,42.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,0,,49,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-1.8,,50.9,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.6,,51.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.1,,54.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.9,,52.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1.6,,45.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-9.9,,45.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,2.5,,59,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,3.5,,52.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-13.6,,47.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,2.6,,57.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.1,,55.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-5,,53.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-5.1,,52,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-8.9,,52.8,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.3,,51.4,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-6,,53.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-10,,48.3,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-0.7,,58.1,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-5.5,,50.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-11.5,,37.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-2.3,,49.7,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-4.7,,50.6,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,1,,56.5,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Baulch et al._2011,Freshwater,-11.8,,42.2,five low-order streams in S Ontario_Canada_mixed land-use_modelled emissions_March 2007 to October 2008,yes
Boontanon et al._2000,Freshwater,6.6,,47.4,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,5.8,,47.6,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,15.6,,63.8,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,6.9,,50.9,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,-0.6,,43.3,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,-1.4,,42.6,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,6.7,,55.5,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,7.5,,50.2,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,-2,,39.8,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,-3.8,,36.6,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,-1.5,,38.5,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,-0.6,,36.6,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,0.8,,45.5,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,5.2,,48,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,7.2,,47.2,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,10.3,,48.4,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,5.5,,47.9,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,yes
Boontanon et al._2000,Freshwater,5.5,,45.7,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,7.1,,50.2,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Boontanon et al._2000,Freshwater,7,,51.6,Bang Nara River_Narathiwat_Thailand_tropical swamp_November 1997 to January 1998,no
Croteau et al. 2010,Troposphere,6.3,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.6,,44.2,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.7,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.8,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.5,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.6,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.6,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.5,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.7,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.8,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.6,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.2,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.8,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44.3,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.2,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,43.9,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,43.5,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,44,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.2,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.6,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.5,,44.6,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6,,44.7,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.8,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,5.7,,43.9,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.4,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,43.9,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.3,,43.7,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.4,,44.2,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
Croteau et al. 2010,Troposphere,6.1,,45.1,"Costa Rica-Aura Validation Experiment (CRAVE) WB-57 samples from 2006, from 2.1 to 19.3 km, samples may include tropical lower stratosphere",n/a
